time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-30T03:10:52.179Z,34.4096,7.4983,10,4.6,mb,,52,2.009,1.17,us,us70006env,2020-02-19T18:58:22.040Z,"40km W of Tamaghzah, Tunisia",earthquake,5.5,1.9,0.136,16,reviewed,us,us
2019-11-30T02:46:55.041Z,-19.1531,-175.2458,238.17,4.3,mb,,129,5.029,0.72,us,us60006pfh,2020-02-19T18:57:58.040Z,"118km NW of Pangai, Tonga",earthquake,13.2,12,0.154,12,reviewed,us,us
2019-11-30T02:41:38.680Z,19.2875,-67.3745,44,2.86,md,4,326,1.127,0.26,pr,pr2019334005,2020-02-19T18:58:22.040Z,"96km NNW of San Antonio, Puerto Rico",earthquake,4.059,16.87,0.18,4,reviewed,pr,pr
2019-11-30T01:45:12.620Z,42.776,-124.476666666667,16.65,4.53,ml,15,142,,0.25,uw,uw61562126,2020-02-19T18:58:22.040Z,"3km NNE of Port Orford, Oregon",earthquake,0.4,0.79,0.124880414425303,10,reviewed,uw,uw
2019-11-30T00:43:40.730Z,19.0306,-67.1185,11,2.75,md,11,225,0.5631,0.3,pr,pr2019334004,2019-11-30T05:25:05.467Z,"59km N of Isabela, Puerto Rico",earthquake,1.03,2.09,0.25,11,reviewed,pr,pr
2019-11-30T00:35:23.570Z,19.0895,-67.2558,21,2.88,md,13,287,0.6386,0.44,pr,pr2019334000,2020-02-19T18:58:22.040Z,"72km NNW of San Antonio, Puerto Rico",earthquake,2.06,31.99,0.35,12,reviewed,pr,pr
2019-11-29T23:55:30.110Z,18.3098,-68.1935,105,2.87,md,12,187,0.7182,0.28,pr,pr2019333019,2020-02-19T18:58:22.040Z,"36km SE of Punta Cana, Dominican Republic",earthquake,2.54,1.79,0.36,12,reviewed,pr,pr
2019-11-29T23:43:44.630Z,18.3073,-68.048,81,2.77,md,4,183,0.9711,0.06,pr,pr2019333018,2020-02-19T18:58:22.040Z,"48km SE of Punta Cana, Dominican Republic",earthquake,1.71,1.54,0.32,4,reviewed,pr,pr
2019-11-29T22:56:45.290Z,18.6625,-67.4555,10,2.75,md,4,290,0.2791,0.15,pr,pr2019333016,2019-11-29T23:48:03.882Z,"41km NW of Aguadilla, Puerto Rico",earthquake,1.05,31.61,0.1,3,reviewed,pr,pr
2019-11-29T22:02:32.043Z,60.4342,-150.2225,29.6,2.8,ml,,,,0.94,ak,ak019fb32njc,2019-11-30T08:45:51.086Z,"31km ESE of Sterling, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2019-11-29T22:02:31.085Z,60.5753,-150.24,21.1,2.8,ml,,,,0.58,ak,ak019fb32lix,2020-02-19T18:58:21.040Z,"31km ESE of Sterling, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-11-29T22:01:23.607Z,60.7894,-151.7242,73.8,2.5,ml,,,,0.52,ak,ak019fb32dd1,2020-02-19T18:58:21.040Z,"26km WNW of Nikiski, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-29T21:37:27.167Z,14.6518,-93.2372,22.8,4.1,mb,,175,1.498,0.78,us,us70006em5,2020-02-19T18:58:21.040Z,"88km W of Puerto Madero, Mexico",earthquake,6.8,10.8,0.14,14,reviewed,us,us
2019-11-29T21:14:45.379Z,43.8878,-105.4724,0,3.5,ml,,141,1.062,1.2,us,us70006elt,2020-02-19T18:58:21.040Z,"Wyoming",mining explosion,8.1,1.8,0.04,84,reviewed,us,us
2019-11-29T21:12:20.302Z,61.3112,-152.314,127.3,3.1,ml,,,,0.59,ak,ak019fb2ja7y,2020-02-19T18:58:21.040Z,"88km NW of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-11-29T21:10:49.164Z,-24.8505,179.8563,513.6,4.5,mb,,109,4.801,0.93,us,us70006elz,2020-02-19T18:58:21.040Z,"South of the Fiji Islands",earthquake,12.2,7.4,0.081,45,reviewed,us,us
