time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-30T09:19:45.640Z,19.252,-67.4188,46,2.99,md,12,308,0.8427,0.59,pr,pr2019273011,2019-12-20T19:04:00.040Z,"70km NNW of San Antonio, Puerto Rico",earthquake,3.84,12.79,0.36,12,reviewed,pr,pr
2019-09-30T09:10:35.602Z,57.1879,-136.421,5,2.6,ml,,,,0.51,ak,ak019cjn4v9e,2019-12-20T19:04:44.040Z,"67km WNW of Sitka, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2019-09-30T09:09:57.170Z,19.2088,-67.2435,5,3.2,md,22,215,0.753,0.59,pr,pr2019273012,2019-12-20T19:04:00.040Z,"71km NNW of Isabela, Puerto Rico",earthquake,2.19,2.04,0.15,20,reviewed,pr,pr
2019-09-30T09:04:52.470Z,19.034,-67.1323,6,2.94,md,3,357,0.5669,0.13,pr,pr2019273021,2019-09-30T13:00:23.965Z,"60km N of Isabela, Puerto Rico",earthquake,10.66,1.67,0.15,2,reviewed,pr,pr
2019-09-30T08:39:37.212Z,57.2218,-136.4535,4.1,2.8,ml,,,,0.62,ak,ak019cjmpng9,2019-12-20T19:03:58.040Z,"70km WNW of Sitka, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-09-30T08:39:29.540Z,19.2076,-67.4658,57,3.04,md,11,309,0.8207,0.34,pr,pr2019273018,2019-09-30T12:22:27.360Z,"88km NNW of San Antonio, Puerto Rico",earthquake,3.1,7.42,0.09,7,reviewed,pr,pr
2019-09-30T06:53:00.719Z,-0.1975,124.7617,70.34,4.3,mb,,41,2.159,0.7,us,us70005sl1,2019-12-20T19:04:38.040Z,"106km SSE of Lolayan, Indonesia",earthquake,8.4,8.5,0.122,19,reviewed,us,us
2019-09-30T06:49:17.730Z,19.269,-67.3363,12,2.62,md,15,299,0.8325,0.55,pr,pr2019273003,2019-12-20T19:03:58.040Z,"78km NNW of San Antonio, Puerto Rico",earthquake,11.47,16.14,0.33,15,reviewed,pr,pr
2019-09-30T06:44:34.512Z,-55.4206,-29.191,10,4.6,mb,,130,4.368,0.64,us,us70005skz,2019-12-20T19:04:37.040Z,"188km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,16,1.9,0.141,15,reviewed,us,us
2019-09-30T06:10:16.546Z,9.6781,126.5431,35,4.7,mb,,47,2.761,0.73,us,us70005nrm,2019-12-20T19:03:57.040Z,"43km ESE of General Luna, Philippines",earthquake,8.2,2,0.07,62,reviewed,us,us
2019-09-30T06:06:57.976Z,-15.0823,167.3579,102.21,4.4,mb,,144,0.392,0.72,us,us70005sky,2019-12-20T19:04:37.040Z,"33km E of Port-Olry, Vanuatu",earthquake,15.4,3.6,0.149,13,reviewed,us,us
2019-09-30T06:04:15.071Z,40.5193,84.3445,10,4.1,mb,,87,4.882,0.53,us,us70005nrl,2019-12-20T19:03:57.040Z,"178km SE of Kuqa, China",earthquake,8.1,1.9,0.157,11,reviewed,us,us
